infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
sous-doser,sous-dosant,sous-dosant,sous-dosé,avoir,sous-dose,sous-doses,sous-dose,sous-dosons,sous-dosez,sous-dosent,sous-dosais,sous-dosais,sous-dosait,sous-dosions,sous-dosiez,sous-dosaient,sous-dosai,sous-dosas,sous-dosa,sous-dosâmes,sous-dosâtes,sous-dosèrent,sous-doserai,sous-doseras,sous-dosera,sous-doserons,sous-doserez,sous-doseront,sous-doserais,sous-doserais,sous-doserait,sous-doserions,sous-doseriez,sous-doseraient,sous-dose,sous-doses,sous-dose,sous-dosions,sous-dosiez,sous-dosent,sous-dosasse,sous-dosasses,sous-dosât,sous-dosassions,sous-dosassiez,sous-dosassent,,sous-dose,,sous-dosons,sous-dosez,
surnommer,surnommant,surnommant,surnommé,avoir,surnomme,surnommes,surnomme,surnommons,surnommez,surnomment,surnommais,surnommais,surnommait,surnommions,surnommiez,surnommaient,surnommai,surnommas,surnomma,surnommâmes,surnommâtes,surnommèrent,surnommerai,surnommeras,surnommera,surnommerons,surnommerez,surnommeront,surnommerais,surnommerais,surnommerait,surnommerions,surnommeriez,surnommeraient,surnomme,surnommes,surnomme,surnommions,surnommiez,surnomment,surnommasse,surnommasses,surnommât,surnommassions,surnommassiez,surnommassent,,surnomme,,surnommons,surnommez,
sourciller,sourcillant,sourcillant,sourcillé,avoir,sourcille,sourcilles,sourcille,sourcillons,sourcillez,sourcillent,sourcillais,sourcillais,sourcillait,sourcillions,sourcilliez,sourcillaient,sourcillai,sourcillas,sourcilla,sourcillâmes,sourcillâtes,sourcillèrent,sourcillerai,sourcilleras,sourcillera,sourcillerons,sourcillerez,sourcilleront,sourcillerais,sourcillerais,sourcillerait,sourcillerions,sourcilleriez,sourcilleraient,sourcille,sourcilles,sourcille,sourcillions,sourcilliez,sourcillent,sourcillasse,sourcillasses,sourcillât,sourcillassions,sourcillassiez,sourcillassent,,sourcille,,sourcillons,sourcillez,
sonner,sonnant,sonnant,sonné,avoir,sonne,sonnes,sonne,sonnons,sonnez,sonnent,sonnais,sonnais,sonnait,sonnions,sonniez,sonnaient,sonnai,sonnas,sonna,sonnâmes,sonnâtes,sonnèrent,sonnerai,sonneras,sonnera,sonnerons,sonnerez,sonneront,sonnerais,sonnerais,sonnerait,sonnerions,sonneriez,sonneraient,sonne,sonnes,sonne,sonnions,sonniez,sonnent,sonnasse,sonnasses,sonnât,sonnassions,sonnassiez,sonnassent,,sonne,,sonnons,sonnez,
soigner,soignant,soignant,soigné,avoir,soigne,soignes,soigne,soignons,soignez,soignent,soignais,soignais,soignait,soignions,soigniez,soignaient,soignai,soignas,soigna,soignâmes,soignâtes,soignèrent,soignerai,soigneras,soignera,soignerons,soignerez,soigneront,soignerais,soignerais,soignerait,soignerions,soigneriez,soigneraient,soigne,soignes,soigne,soignions,soigniez,soignent,soignasse,soignasses,soignât,soignassions,soignassiez,soignassent,,soigne,,soignons,soignez,
somnoler,somnolant,somnolant,somnolé,avoir,somnole,somnoles,somnole,somnolons,somnolez,somnolent,somnolais,somnolais,somnolait,somnolions,somnoliez,somnolaient,somnolai,somnolas,somnola,somnolâmes,somnolâtes,somnolèrent,somnolerai,somnoleras,somnolera,somnolerons,somnolerez,somnoleront,somnolerais,somnolerais,somnolerait,somnolerions,somnoleriez,somnoleraient,somnole,somnoles,somnole,somnolions,somnoliez,somnolent,somnolasse,somnolasses,somnolât,somnolassions,somnolassiez,somnolassent,,somnole,,somnolons,somnolez,
surimposer,surimposant,surimposant,surimposé,avoir,surimpose,surimposes,surimpose,surimposons,surimposez,surimposent,surimposais,surimposais,surimposait,surimposions,surimposiez,surimposaient,surimposai,surimposas,surimposa,surimposâmes,surimposâtes,surimposèrent,surimposerai,surimposeras,surimposera,surimposerons,surimposerez,surimposeront,surimposerais,surimposerais,surimposerait,surimposerions,surimposeriez,surimposeraient,surimpose,surimposes,surimpose,surimposions,surimposiez,surimposent,surimposasse,surimposasses,surimposât,surimposassions,surimposassiez,surimposassent,,surimpose,,surimposons,surimposez,
supputer,supputant,supputant,supputé,avoir,suppute,supputes,suppute,supputons,supputez,supputent,supputais,supputais,supputait,supputions,supputiez,supputaient,supputai,supputas,supputa,supputâmes,supputâtes,supputèrent,supputerai,supputeras,supputera,supputerons,supputerez,supputeront,supputerais,supputerais,supputerait,supputerions,supputeriez,supputeraient,suppute,supputes,suppute,supputions,supputiez,supputent,supputasse,supputasses,supputât,supputassions,supputassiez,supputassent,,suppute,,supputons,supputez,
solidariser,solidarisant,solidarisant,solidarisé,avoir,solidarise,solidarises,solidarise,solidarisons,solidarisez,solidarisent,solidarisais,solidarisais,solidarisait,solidarisions,solidarisiez,solidarisaient,solidarisai,solidarisas,solidarisa,solidarisâmes,solidarisâtes,solidarisèrent,solidariserai,solidariseras,solidarisera,solidariserons,solidariserez,solidariseront,solidariserais,solidariserais,solidariserait,solidariserions,solidariseriez,solidariseraient,solidarise,solidarises,solidarise,solidarisions,solidarisiez,solidarisent,solidarisasse,solidarisasses,solidarisât,solidarisassions,solidarisassiez,solidarisassent,,solidarise,,solidarisons,solidarisez,
solder,soldant,soldant,soldé,avoir,solde,soldes,solde,soldons,soldez,soldent,soldais,soldais,soldait,soldions,soldiez,soldaient,soldai,soldas,solda,soldâmes,soldâtes,soldèrent,solderai,solderas,soldera,solderons,solderez,solderont,solderais,solderais,solderait,solderions,solderiez,solderaient,solde,soldes,solde,soldions,soldiez,soldent,soldasse,soldasses,soldât,soldassions,soldassiez,soldassent,,solde,,soldons,soldez,
souper,soupant,soupant,soupé,avoir,soupe,soupes,soupe,soupons,soupez,soupent,soupais,soupais,soupait,soupions,soupiez,soupaient,soupai,soupas,soupa,soupâmes,soupâtes,soupèrent,souperai,souperas,soupera,souperons,souperez,souperont,souperais,souperais,souperait,souperions,souperiez,souperaient,soupe,soupes,soupe,soupions,soupiez,soupent,soupasse,soupasses,soupât,soupassions,soupassiez,soupassent,,soupe,,soupons,soupez,
sombrer,sombrant,sombrant,sombré,avoir,sombre,sombres,sombre,sombrons,sombrez,sombrent,sombrais,sombrais,sombrait,sombrions,sombriez,sombraient,sombrai,sombras,sombra,sombrâmes,sombrâtes,sombrèrent,sombrerai,sombreras,sombrera,sombrerons,sombrerez,sombreront,sombrerais,sombrerais,sombrerait,sombrerions,sombreriez,sombreraient,sombre,sombres,sombre,sombrions,sombriez,sombrent,sombrasse,sombrasses,sombrât,sombrassions,sombrassiez,sombrassent,,sombre,,sombrons,sombrez,
supprimer,supprimant,supprimant,supprimé,avoir,supprime,supprimes,supprime,supprimons,supprimez,suppriment,supprimais,supprimais,supprimait,supprimions,supprimiez,supprimaient,supprimai,supprimas,supprima,supprimâmes,supprimâtes,supprimèrent,supprimerai,supprimeras,supprimera,supprimerons,supprimerez,supprimeront,supprimerais,supprimerais,supprimerait,supprimerions,supprimeriez,supprimeraient,supprime,supprimes,supprime,supprimions,supprimiez,suppriment,supprimasse,supprimasses,supprimât,supprimassions,supprimassiez,supprimassent,,supprime,,supprimons,supprimez,
sourire,souriant,souriant,souri,avoir,souris,souris,sourit,sourions,souriez,sourient,souriais,souriais,souriait,souriions,souriiez,souriaient,souris,souris,sourit,sourîmes,sourîtes,sourirent,sourirai,souriras,sourira,sourirons,sourirez,souriront,sourirais,sourirais,sourirait,souririons,souririez,souriraient,sourie,souries,sourie,souriions,souriiez,sourient,sourisse,sourisses,sourît,sourissions,sourissiez,sourissent,,souris,,sourions,souriez,
stationner,stationnant,stationnant,stationné,avoir,stationne,stationnes,stationne,stationnons,stationnez,stationnent,stationnais,stationnais,stationnait,stationnions,stationniez,stationnaient,stationnai,stationnas,stationna,stationnâmes,stationnâtes,stationnèrent,stationnerai,stationneras,stationnera,stationnerons,stationnerez,stationneront,stationnerais,stationnerais,stationnerait,stationnerions,stationneriez,stationneraient,stationne,stationnes,stationne,stationnions,stationniez,stationnent,stationnasse,stationnasses,stationnât,stationnassions,stationnassiez,stationnassent,,stationne,,stationnons,stationnez,
siphonner,siphonnant,siphonnant,siphonné,avoir,siphonne,siphonnes,siphonne,siphonnons,siphonnez,siphonnent,siphonnais,siphonnais,siphonnait,siphonnions,siphonniez,siphonnaient,siphonnai,siphonnas,siphonna,siphonnâmes,siphonnâtes,siphonnèrent,siphonnerai,siphonneras,siphonnera,siphonnerons,siphonnerez,siphonneront,siphonnerais,siphonnerais,siphonnerait,siphonnerions,siphonneriez,siphonneraient,siphonne,siphonnes,siphonne,siphonnions,siphonniez,siphonnent,siphonnasse,siphonnasses,siphonnât,siphonnassions,siphonnassiez,siphonnassent,,siphonne,,siphonnons,siphonnez,
sucrer,sucrant,sucrant,sucré,avoir,sucre,sucres,sucre,sucrons,sucrez,sucrent,sucrais,sucrais,sucrait,sucrions,sucriez,sucraient,sucrai,sucras,sucra,sucrâmes,sucrâtes,sucrèrent,sucrerai,sucreras,sucrera,sucrerons,sucrerez,sucreront,sucrerais,sucrerais,sucrerait,sucrerions,sucreriez,sucreraient,sucre,sucres,sucre,sucrions,sucriez,sucrent,sucrasse,sucrasses,sucrât,sucrassions,sucrassiez,sucrassent,,sucre,,sucrons,sucrez,
souhaiter,souhaitant,souhaitant,souhaité,avoir,souhaite,souhaites,souhaite,souhaitons,souhaitez,souhaitent,souhaitais,souhaitais,souhaitait,souhaitions,souhaitiez,souhaitaient,souhaitai,souhaitas,souhaita,souhaitâmes,souhaitâtes,souhaitèrent,souhaiterai,souhaiteras,souhaitera,souhaiterons,souhaiterez,souhaiteront,souhaiterais,souhaiterais,souhaiterait,souhaiterions,souhaiteriez,souhaiteraient,souhaite,souhaites,souhaite,souhaitions,souhaitiez,souhaitent,souhaitasse,souhaitasses,souhaitât,souhaitassions,souhaitassiez,souhaitassent,,souhaite,,souhaitons,souhaitez,
sous-estimer,sous-estimant,sous-estimant,sous-estimé,avoir,sous-estime,sous-estimes,sous-estime,sous-estimons,sous-estimez,sous-estiment,sous-estimais,sous-estimais,sous-estimait,sous-estimions,sous-estimiez,sous-estimaient,sous-estimai,sous-estimas,sous-estima,sous-estimâmes,sous-estimâtes,sous-estimèrent,sous-estimerai,sous-estimeras,sous-estimera,sous-estimerons,sous-estimerez,sous-estimeront,sous-estimerais,sous-estimerais,sous-estimerait,sous-estimerions,sous-estimeriez,sous-estimeraient,sous-estime,sous-estimes,sous-estime,sous-estimions,sous-estimiez,sous-estiment,sous-estimasse,sous-estimasses,sous-estimât,sous-estimassions,sous-estimassiez,sous-estimassent,,sous-estime,,sous-estimons,sous-estimez,
subventionner,subventionnant,subventionnant,subventionné,avoir,subventionne,subventionnes,subventionne,subventionnons,subventionnez,subventionnent,subventionnais,subventionnais,subventionnait,subventionnions,subventionniez,subventionnaient,subventionnai,subventionnas,subventionna,subventionnâmes,subventionnâtes,subventionnèrent,subventionnerai,subventionneras,subventionnera,subventionnerons,subventionnerez,subventionneront,subventionnerais,subventionnerais,subventionnerait,subventionnerions,subventionneriez,subventionneraient,subventionne,subventionnes,subventionne,subventionnions,subventionniez,subventionnent,subventionnasse,subventionnasses,subventionnât,subventionnassions,subventionnassiez,subventionnassent,,subventionne,,subventionnons,subventionnez,
sprinter,sprintant,sprintant,sprinté,avoir,sprinte,sprintes,sprinte,sprintons,sprintez,sprintent,sprintais,sprintais,sprintait,sprintions,sprintiez,sprintaient,sprintai,sprintas,sprinta,sprintâmes,sprintâtes,sprintèrent,sprinterai,sprinteras,sprintera,sprinterons,sprinterez,sprinteront,sprinterais,sprinterais,sprinterait,sprinterions,sprinteriez,sprinteraient,sprinte,sprintes,sprinte,sprintions,sprintiez,sprintent,sprintasse,sprintasses,sprintât,sprintassions,sprintassiez,sprintassent,,sprinte,,sprintons,sprintez,
submerger,submergeant,submergeant,submergé,avoir,submerge,submerges,submerge,submergeons,submergez,submergent,submergeais,submergeais,submergeait,submergions,submergiez,submergeaient,submergeai,submergeas,submergea,submergeâmes,submergeâtes,submergèrent,submergerai,submergeras,submergera,submergerons,submergerez,submergeront,submergerais,submergerais,submergerait,submergerions,submergeriez,submergeraient,submerge,submerges,submerge,submergions,submergiez,submergent,submergeasse,submergeasses,submergeât,submergeassions,submergeassiez,submergeassent,,submerge,,submergeons,submergez,
soupeser,soupesant,soupesant,soupesé,avoir;être,soupèse,soupèses,soupèse,soupesons,soupesez,soupèsent,soupesais,soupesais,soupesait,soupesions,soupesiez,soupesaient,soupesai,soupesas,soupesa,soupesâmes,soupesâtes,soupesèrent,soupèserai,soupèseras,soupèsera,soupèserons,soupèserez,soupèseront,soupèserais,soupèserais,soupèserait,soupèserions,soupèseriez,soupèseraient,soupèse,soupèses,soupèse,soupesions,soupesiez,soupèsent,soupesasse,soupesasses,soupesât,soupesassions,soupesassiez,soupesassent,,soupèse,,soupesons,soupesez,
suriner,surinant,surinant,suriné,avoir,surine,surines,surine,surinons,surinez,surinent,surinais,surinais,surinait,surinions,suriniez,surinaient,surinai,surinas,surina,surinâmes,surinâtes,surinèrent,surinerai,surineras,surinera,surinerons,surinerez,surineront,surinerais,surinerais,surinerait,surinerions,surineriez,surineraient,surine,surines,surine,surinions,suriniez,surinent,surinasse,surinasses,surinât,surinassions,surinassiez,surinassent,,surine,,surinons,surinez,
subsister,subsistant,subsistant,subsisté,avoir,subsiste,subsistes,subsiste,subsistons,subsistez,subsistent,subsistais,subsistais,subsistait,subsistions,subsistiez,subsistaient,subsistai,subsistas,subsista,subsistâmes,subsistâtes,subsistèrent,subsisterai,subsisteras,subsistera,subsisterons,subsisterez,subsisteront,subsisterais,subsisterais,subsisterait,subsisterions,subsisteriez,subsisteraient,subsiste,subsistes,subsiste,subsistions,subsistiez,subsistent,subsistasse,subsistasses,subsistât,subsistassions,subsistassiez,subsistassent,,subsiste,,subsistons,subsistez,
surmotiver,surmotivant,surmotivant,surmotivé,avoir,surmotive,surmotives,surmotive,surmotivons,surmotivez,surmotivent,surmotivais,surmotivais,surmotivait,surmotivions,surmotiviez,surmotivaient,surmotivai,surmotivas,surmotiva,surmotivâmes,surmotivâtes,surmotivèrent,surmotiverai,surmotiveras,surmotivera,surmotiverons,surmotiverez,surmotiveront,surmotiverais,surmotiverais,surmotiverait,surmotiverions,surmotiveriez,surmotiveraient,surmotive,surmotives,surmotive,surmotivions,surmotiviez,surmotivent,surmotivasse,surmotivasses,surmotivât,surmotivassions,surmotivassiez,surmotivassent,,surmotive,,surmotivons,surmotivez,
stupéfier,stupéfiant,stupéfiant,stupéfié,avoir,stupéfie,stupéfies,stupéfie,stupéfions,stupéfiez,stupéfient,stupéfiais,stupéfiais,stupéfiait,stupéfiions,stupéfiiez,stupéfiaient,stupéfiai,stupéfias,stupéfia,stupéfiâmes,stupéfiâtes,stupéfièrent,stupéfierai,stupéfieras,stupéfiera,stupéfierons,stupéfierez,stupéfieront,stupéfierais,stupéfierais,stupéfierait,stupéfierions,stupéfieriez,stupéfieraient,stupéfie,stupéfies,stupéfie,stupéfiions,stupéfiiez,stupéfient,stupéfiasse,stupéfiasses,stupéfiât,stupéfiassions,stupéfiassiez,stupéfiassent,,stupéfie,,stupéfions,stupéfiez,
surcharger,surchargeant,surchargeant,surchargé,avoir,surcharge,surcharges,surcharge,surchargeons,surchargez,surchargent,surchargeais,surchargeais,surchargeait,surchargions,surchargiez,surchargeaient,surchargeai,surchargeas,surchargea,surchargeâmes,surchargeâtes,surchargèrent,surchargerai,surchargeras,surchargera,surchargerons,surchargerez,surchargeront,surchargerais,surchargerais,surchargerait,surchargerions,surchargeriez,surchargeraient,surcharge,surcharges,surcharge,surchargions,surchargiez,surchargent,surchargeasse,surchargeasses,surchargeât,surchargeassions,surchargeassiez,surchargeassent,,surcharge,,surchargeons,surchargez,
surajouter,surajoutant,surajoutant,surajouté,avoir,surajoute,surajoutes,surajoute,surajoutons,surajoutez,surajoutent,surajoutais,surajoutais,surajoutait,surajoutions,surajoutiez,surajoutaient,surajoutai,surajoutas,surajouta,surajoutâmes,surajoutâtes,surajoutèrent,surajouterai,surajouteras,surajoutera,surajouterons,surajouterez,surajouteront,surajouterais,surajouterais,surajouterait,surajouterions,surajouteriez,surajouteraient,surajoute,surajoutes,surajoute,surajoutions,surajoutiez,surajoutent,surajoutasse,surajoutasses,surajoutât,surajoutassions,surajoutassiez,surajoutassent,,surajoute,,surajoutons,surajoutez,
surfiler,surfilant,surfilant,surfilé,avoir,surfile,surfiles,surfile,surfilons,surfilez,surfilent,surfilais,surfilais,surfilait,surfilions,surfiliez,surfilaient,surfilai,surfilas,surfila,surfilâmes,surfilâtes,surfilèrent,surfilerai,surfileras,surfilera,surfilerons,surfilerez,surfileront,surfilerais,surfilerais,surfilerait,surfilerions,surfileriez,surfileraient,surfile,surfiles,surfile,surfilions,surfiliez,surfilent,surfilasse,surfilasses,surfilât,surfilassions,surfilassiez,surfilassent,,surfile,,surfilons,surfilez,
skier,skiant,skiant,skié,avoir,skie,skies,skie,skions,skiez,skient,skiais,skiais,skiait,skiions,skiiez,skiaient,skiai,skias,skia,skiâmes,skiâtes,skièrent,skierai,skieras,skiera,skierons,skierez,skieront,skierais,skierais,skierait,skierions,skieriez,skieraient,skie,skies,skie,skiions,skiiez,skient,skiasse,skiasses,skiât,skiassions,skiassiez,skiassent,,skie,,skions,skiez,
sursauter,sursautant,sursautant,sursauté,avoir,sursaute,sursautes,sursaute,sursautons,sursautez,sursautent,sursautais,sursautais,sursautait,sursautions,sursautiez,sursautaient,sursautai,sursautas,sursauta,sursautâmes,sursautâtes,sursautèrent,sursauterai,sursauteras,sursautera,sursauterons,sursauterez,sursauteront,sursauterais,sursauterais,sursauterait,sursauterions,sursauteriez,sursauteraient,sursaute,sursautes,sursaute,sursautions,sursautiez,sursautent,sursautasse,sursautasses,sursautât,sursautassions,sursautassiez,sursautassent,,sursaute,,sursautons,sursautez,
surgir,surgissant,surgissant,surgi,avoir,surgis,surgis,surgit,surgissons,surgissez,surgissent,surgissais,surgissais,surgissait,surgissions,surgissiez,surgissaient,surgis,surgis,surgit,surgîmes,surgîtes,surgirent,surgirai,surgiras,surgira,surgirons,surgirez,surgiront,surgirais,surgirais,surgirait,surgirions,surgiriez,surgiraient,surgisse,surgisses,surgisse,surgissions,surgissiez,surgissent,surgisse,surgisses,surgît,surgissions,surgissiez,surgissent,,surgis,,surgissons,surgissez,
sommeiller,sommeillant,sommeillant,sommeillé,avoir,sommeille,sommeilles,sommeille,sommeillons,sommeillez,sommeillent,sommeillais,sommeillais,sommeillait,sommeillions,sommeilliez,sommeillaient,sommeillai,sommeillas,sommeilla,sommeillâmes,sommeillâtes,sommeillèrent,sommeillerai,sommeilleras,sommeillera,sommeillerons,sommeillerez,sommeilleront,sommeillerais,sommeillerais,sommeillerait,sommeillerions,sommeilleriez,sommeilleraient,sommeille,sommeilles,sommeille,sommeillions,sommeilliez,sommeillent,sommeillasse,sommeillasses,sommeillât,sommeillassions,sommeillassiez,sommeillassent,,sommeille,,sommeillons,sommeillez,
supposer,supposant,supposant,supposé,avoir,suppose,supposes,suppose,supposons,supposez,supposent,supposais,supposais,supposait,supposions,supposiez,supposaient,supposai,supposas,supposa,supposâmes,supposâtes,supposèrent,supposerai,supposeras,supposera,supposerons,supposerez,supposeront,supposerais,supposerais,supposerait,supposerions,supposeriez,supposeraient,suppose,supposes,suppose,supposions,supposiez,supposent,supposasse,supposasses,supposât,supposassions,supposassiez,supposassent,,suppose,,supposons,supposez,
stocker,stockant,stockant,stocké,avoir,stocke,stockes,stocke,stockons,stockez,stockent,stockais,stockais,stockait,stockions,stockiez,stockaient,stockai,stockas,stocka,stockâmes,stockâtes,stockèrent,stockerai,stockeras,stockera,stockerons,stockerez,stockeront,stockerais,stockerais,stockerait,stockerions,stockeriez,stockeraient,stocke,stockes,stocke,stockions,stockiez,stockent,stockasse,stockasses,stockât,stockassions,stockassiez,stockassent,,stocke,,stockons,stockez,
suer,suant,suant,sué,avoir,sue,sues,sue,suons,suez,suent,suais,suais,suait,suions,suiez,suaient,suai,suas,sua,suâmes,suâtes,suèrent,suerai,sueras,suera,suerons,suerez,sueront,suerais,suerais,suerait,suerions,sueriez,sueraient,sue,sues,sue,suions,suiez,suent,suasse,suasses,suât,suassions,suassiez,suassent,,sue,,suons,suez,
surpayer,surpayant,surpayant,surpayé,avoir,surpaye,surpayes,surpaye,surpayons,surpayez,surpayent,surpayais,surpayais,surpayait,surpayions,surpayiez,surpayaient,surpayai,surpayas,surpaya,surpayâmes,surpayâtes,surpayèrent,surpayerai,surpayeras,surpayera,surpayerons,surpayerez,surpayeront,surpayerais,surpayerais,surpayerait,surpayerions,surpayeriez,surpayeraient,surpaye,surpayes,surpaye,surpayions,surpayiez,surpayent,surpayasse,surpayasses,surpayât,surpayassions,surpayassiez,surpayassent,,surpaye,,surpayons,surpayez,
souffleter,souffletant,souffletant,souffleté,avoir,soufflete,souffletes,soufflete,souffletons,souffletez,souffletent,souffletais,souffletais,souffletait,souffletions,souffletiez,souffletaient,souffletai,souffletas,souffleta,souffletâmes,souffletâtes,souffletèrent,souffleterai,souffleteras,souffletera,souffleterons,souffleterez,souffleteront,souffleterais,souffleterais,souffleterait,souffleterions,souffleteriez,souffleteraient,soufflete,souffletes,soufflete,souffletions,souffletiez,souffletent,souffletasse,souffletasses,souffletât,souffletassions,souffletassiez,souffletassent,,soufflete,,souffletons,souffletez,
stopper,stoppant,stoppant,stoppé,avoir,stoppe,stoppes,stoppe,stoppons,stoppez,stoppent,stoppais,stoppais,stoppait,stoppions,stoppiez,stoppaient,stoppai,stoppas,stoppa,stoppâmes,stoppâtes,stoppèrent,stopperai,stopperas,stoppera,stopperons,stopperez,stopperont,stopperais,stopperais,stopperait,stopperions,stopperiez,stopperaient,stoppe,stoppes,stoppe,stoppions,stoppiez,stoppent,stoppasse,stoppasses,stoppât,stoppassions,stoppassiez,stoppassent,,stoppe,,stoppons,stoppez,
styliser,stylisant,stylisant,stylisé,avoir,stylise,stylises,stylise,stylisons,stylisez,stylisent,stylisais,stylisais,stylisait,stylisions,stylisiez,stylisaient,stylisai,stylisas,stylisa,stylisâmes,stylisâtes,stylisèrent,styliserai,styliseras,stylisera,styliserons,styliserez,styliseront,styliserais,styliserais,styliserait,styliserions,styliseriez,styliseraient,stylise,stylises,stylise,stylisions,stylisiez,stylisent,stylisasse,stylisasses,stylisât,stylisassions,stylisassiez,stylisassent,,stylise,,stylisons,stylisez,
subir,subissant,subissant,subi,avoir,subis,subis,subit,subissons,subissez,subissent,subissais,subissais,subissait,subissions,subissiez,subissaient,subis,subis,subit,subîmes,subîtes,subirent,subirai,subiras,subira,subirons,subirez,subiront,subirais,subirais,subirait,subirions,subiriez,subiraient,subisse,subisses,subisse,subissions,subissiez,subissent,subisse,subisses,subît,subissions,subissiez,subissent,,subis,,subissons,subissez,
survenir,survenant,survenant,survenu,être,surviens,surviens,survient,survenons,survenez,surviennent,survenais,survenais,survenait,survenions,surveniez,survenaient,survins,survins,survint,survînmes,survîntes,survinrent,surviendrai,surviendras,surviendra,surviendrons,surviendrez,surviendront,surviendrais,surviendrais,surviendrait,surviendrions,surviendriez,surviendraient,survienne,surviennes,survienne,survenions,surveniez,surviennent,survinsse,survinsses,survînt,survinssions,survinssiez,survinssent,,surviens,,survenons,survenez,
slalomer,slalomant,slalomant,slalomé,avoir,slalome,slalomes,slalome,slalomons,slalomez,slaloment,slalomais,slalomais,slalomait,slalomions,slalomiez,slalomaient,slalomai,slalomas,slaloma,slalomâmes,slalomâtes,slalomèrent,slalomerai,slalomeras,slalomera,slalomerons,slalomerez,slalomeront,slalomerais,slalomerais,slalomerait,slalomerions,slalomeriez,slalomeraient,slalome,slalomes,slalome,slalomions,slalomiez,slaloment,slalomasse,slalomasses,slalomât,slalomassions,slalomassiez,slalomassent,,slalome,,slalomons,slalomez,
soupoudrer,soupoudrant,soupoudrant,soupoudré,avoir,soupoudre,soupoudres,soupoudre,soupoudrons,soupoudrez,soupoudrent,soupoudrais,soupoudrais,soupoudrait,soupoudrions,soupoudriez,soupoudraient,soupoudrai,soupoudras,soupoudra,soupoudrâmes,soupoudrâtes,soupoudrèrent,soupoudrerai,soupoudreras,soupoudrera,soupoudrerons,soupoudrerez,soupoudreront,soupoudrerais,soupoudrerais,soupoudrerait,soupoudrerions,soupoudreriez,soupoudreraient,soupoudre,soupoudres,soupoudre,soupoudrions,soupoudriez,soupoudrent,soupoudrasse,soupoudrasses,soupoudrât,soupoudrassions,soupoudrassiez,soupoudrassent,,soupoudre,,soupoudrons,soupoudrez,
surmener,surmenant,surmenant,surmené,être,surmène,surmènes,surmène,surmenons,surmenez,surmènent,surmenais,surmenais,surmenait,surmenions,surmeniez,surmenaient,surmenai,surmenas,surmena,surmenâmes,surmenâtes,surmenèrent,surmènerai,surmèneras,surmènera,surmènerons,surmènerez,surmèneront,surmènerais,surmènerais,surmènerait,surmènerions,surmèneriez,surmèneraient,surmène,surmènes,surmène,surmenions,surmeniez,surmènent,surmenasse,surmenasses,surmenât,surmenassions,surmenassiez,surmenassent,,surmène,,surmenons,surmenez,
supplicier,suppliciant,suppliciant,supplicié,avoir,supplicie,supplicies,supplicie,supplicions,suppliciez,supplicient,suppliciais,suppliciais,suppliciait,suppliciions,suppliciiez,suppliciaient,suppliciai,supplicias,supplicia,suppliciâmes,suppliciâtes,supplicièrent,supplicierai,supplicieras,suppliciera,supplicierons,supplicierez,supplicieront,supplicierais,supplicierais,supplicierait,supplicierions,supplicieriez,supplicieraient,supplicie,supplicies,supplicie,suppliciions,suppliciiez,supplicient,suppliciasse,suppliciasses,suppliciât,suppliciassions,suppliciassiez,suppliciassent,,supplicie,,supplicions,suppliciez,
sous-exposer,sous-exposant,sous-exposant,sous-exposé,avoir,sous-expose,sous-exposes,sous-expose,sous-exposons,sous-exposez,sous-exposent,sous-exposais,sous-exposais,sous-exposait,sous-exposions,sous-exposiez,sous-exposaient,sous-exposai,sous-exposas,sous-exposa,sous-exposâmes,sous-exposâtes,sous-exposèrent,sous-exposerai,sous-exposeras,sous-exposera,sous-exposerons,sous-exposerez,sous-exposeront,sous-exposerais,sous-exposerais,sous-exposerait,sous-exposerions,sous-exposeriez,sous-exposeraient,sous-expose,sous-exposes,sous-expose,sous-exposions,sous-exposiez,sous-exposent,sous-exposasse,sous-exposasses,sous-exposât,sous-exposassions,sous-exposassiez,sous-exposassent,,sous-expose,,sous-exposons,sous-exposez,
